nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
METODOLOGIA DE SISTEMAS,1,41,41,0,0
ELECTRONICA I,1,41,30,11,0
LEGISLACION,1,41,39,0,2
FISICA III,1,41,32,8,1
INVESTIGACION DE OPERACIONES  I,1,41,40,0,1
METODOLOGIA DE SISTEMAS,1,41,31,2,8
SISTEMAS OPERATIVOS,1,41,38,3,0
MATEMATICA III,1,41,30,9,2
COMPUTACION,1,41,33,8,0
LEGISLACION,1,41,38,3,0
ELECTRONICA I,1,41,38,3,0
TALLER DE INGENIERIA DE INFORMACION,1,41,41,0,0
FISICA III,1,41,27,11,3
ELECTRONICA II,1,41,37,4,0
DISEÑO Y EVALUACION DE PROYECTOS,1,41,38,3,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,41,36,5,0
SISTEMAS DE INFORMACION II,1,41,35,6,0
INVESTIGACION DE OPERACIONES I,2,41,36,5,0
INTELIGENCIA ARTIFICIAL,1,41,40,1,0
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,41,37,4,0
METODOLOGIA DE LA PROGRAMACION,1,41,32,3,6
REDES INFORMATICAS EMPRESARIALES I,1,41,40,1,0
SISTEMAS DE INFORMACION I,1,41,39,2,0
SISTEMAS DE INFORMACION I,1,41,36,5,0
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,41,37,4,0
ELECTRONICA DIGITAL,1,41,31,10,0
BASE DE DATOS,1,41,29,10,2
ECOLOGIA Y MEDIO AMBIENTE,2,41,40,1,0
FISICA  I,2,41,34,6,1
FISICA  II,1,41,35,6,0
SISTEMAS DE INFORMACION I,1,41,29,12,0
SISTEMAS DIGITALES,1,41,40,1,0
FISICA  II,2,41,23,18,0
INVESTIGACION DE OPERACIONES  II,1,42,31,9,2
METODOS NUMERICOS,1,42,39,2,1
FISICA II,1,42,39,3,0
REINGENIERIA,1,42,41,0,1
INTELIGENCIA ARTIFICIAL,1,42,42,0,0
FISICA I,1,42,37,3,2
SISTEMAS DE INFORMACION   I,1,42,41,1,0
BASE DE DATOS,1,42,24,18,0
REINGENIERIA,1,42,39,0,3
ESTADISTICA Y PROBABILIDAD,1,42,38,4,0
TALLER DE INGENIERIA DE INFORMACION,1,42,36,5,1
TEORIA DE LENGUAJES,1,42,42,0,0
ADMINISTRACION DE EMPRESAS,1,42,38,0,4
FISICA III,1,42,39,1,2
ECONOMIA GENERAL,1,42,40,0,2
BASE DE DATOS,1,42,31,10,1
LENGUAJE DE MAQUINA,1,42,30,12,0
ESTRUCTURA DE DATOS,1,42,28,12,2
SISTEMAS EXPERTOS,1,42,42,0,0
REDES DE COMUNICACION,1,42,37,4,1
REDES INFORMATICAS EMPRESARIALES  II,1,42,39,3,0
COMPUTACION II,1,42,34,5,3
DINAMICA DE SISTEMAS II,1,42,35,4,3
SISTEMAS EXPERTOS,1,42,42,0,0
FISICA  I,1,42,33,9,0
REDES INFORMATICAS EMPRESARIALES I,1,42,42,0,0
ALGORITMOS,2,42,32,0,10
ALGORITMOS,1,42,30,3,9
METODOS DE PREDICCION,1,43,38,2,3
INGENIERIA DE SOFTWARE,1,43,40,0,3
SISTEMAS OPERATIVOS,1,43,37,5,1
ELECTRONICA I,1,43,38,5,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,43,39,2,2
LEGISLACION,1,43,36,1,6
ADMINISTRACION DE EMPRESAS,1,43,43,0,0
ADMINISTRACION DE EMPRESAS,1,43,41,0,2
FISICA I,1,43,37,6,0
TEORIA DE COMPILADORES,1,43,42,1,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,43,39,4,0
ORGANIZACION DE ARCHIVOS,1,43,43,0,0
INGENIERIA DE INFORMACION,1,43,38,5,0
DINAMICA DE SISTEMAS I,2,43,36,5,2
BASE DE DATOS,1,43,35,8,0
METODOLOGIA DE LA PROGRAMACION,1,43,24,19,0
SISTEMAS DE INFORMACION I,1,43,41,2,0
SISTEMAS EXPERTOS,1,43,41,1,1
BASE DE DATOS,1,43,33,6,4
SISTEMAS OPERATIVOS,1,43,26,14,3
REDES INFORMATICAS EMPRESARIALES  II,1,43,42,1,0
SISTEMAS DE INFORMACION I,1,43,41,2,0
SISTEMAS DE INFORMACION II,1,43,40,3,0
QUIMICA GENERAL,2,43,33,10,0
MATEMATICA II,1,44,34,8,2
LENGUAJE DE MAQUINA,1,44,27,16,1
REDES DE COMUNICACION,1,44,41,3,0
COSTOS Y PRESUPUESTOS,1,44,43,0,1
LEGISLACION,1,44,43,0,1
INVESTIGACION DE OPERACIONES  I,1,44,32,10,2
ADMINISTRACION DE EMPRESAS,1,44,43,1,0
INVESTIGACION DE OPERACIONES  I,1,44,31,13,0
AUDITORIA DE SISTEMAS,1,44,43,0,1
INGENIERIA DE INFORMACION,1,44,44,0,0
INVESTIGACION DE OPERACIONES  III,1,44,27,17,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,44,37,3,4
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,44,38,1,5
ECONOMIA GENERAL,1,44,31,4,9
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,44,37,4,3
DINAMICA DE SISTEMAS I,1,44,34,5,5
ESTRUCTURA DE DATOS,2,44,38,3,3
SIMULACION,1,44,41,1,2
SISTEMAS DE INFORMACION II,1,44,43,1,0
INVESTIGACION DE OPERACIONES II,1,44,34,6,4
DINAMICA DE SISTEMAS II,1,44,28,8,8
GESTION EMPRESARIAL DE SISTEMAS,1,44,41,1,2
INTELIGENCIA ARTIFICIAL,1,44,43,0,1
ELECTRONICA DIGITAL,1,44,34,10,0
REDES INFORMATICAS EMPRESARIALES I,1,44,43,1,0
ESTADISTICA PARA INGENIEROS,1,44,40,4,0
QUIMICA GENERAL,1,44,41,1,2
LENGUAJE DE MAQUINA,1,45,25,18,2
TELEPROCESO,1,45,42,3,0
TEORIA DE COMPILADORES,1,45,42,0,3
COSTOS Y PRESUPUESTOS,1,45,45,0,0
MICROCOMPUTACION IV,1,45,42,1,2
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,45,40,2,3
MATEMATICA III,1,45,26,18,1
MICROCOMPUTACION IV,1,45,39,6,0
CONTABILIDAD GENERAL,1,45,43,0,2
COSTOS Y PRESUPUESTOS,1,45,45,0,0
TEORIA DE LENGUAJES,1,45,45,0,0
CONTABILIDAD GENERAL,1,45,41,4,0
INGENIERIA DE SOFTWARE,1,45,44,0,1
TALLER DE INGENIERIA DE INFORMACION,1,45,45,0,0
TELEPROCESO,1,45,25,17,3
INVESTIGACION DE OPERACIONES II,1,45,40,4,1
BASE DE DATOS,1,45,38,5,2
ARQUITECTURA DE COMPUTADORAS,1,45,37,8,0
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,45,42,3,0
ARQUITECTURA DE COMPUTADORAS,1,45,45,0,0
METODOLOGIA DE LA PROGRAMACION,1,45,34,11,0
REDES INFORMATICAS EMPRESARIALES  II,1,45,39,6,0
REDES INFORMATICAS EMPRESARIALES  II,1,45,0,0,0
METODOLOGIA DE LA PROGRAMACION,1,46,37,8,1
ELECTRONICA II,1,46,31,15,0
MATEMATICA III,1,46,42,3,1
MICROCOMPUTACION III,1,46,43,2,1
MICROCOMPUTACION IV,1,46,41,4,1
ECONOMIA GENERAL,1,46,44,0,2
CONTABILIDAD GENERAL,1,46,45,0,1
ARQUITECTURA DE COMPUTADORAS,1,46,45,0,1
INGENIERIA DE SOFTWARE,1,46,27,17,2
ARQUITECTURA DE COMPUTADORAS,1,46,45,0,1
MATEMATICA II,1,46,19,23,4
INGENIERIA ECONOMICA,1,46,35,11,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,46,35,5,6
ESTADISTICA Y PROBABILIDAD,1,46,44,0,2
ARQUITECTURA DE COMPUTADORAS,1,46,44,2,0
MICROCOMPUTACION IV,1,46,42,2,2
INVESTIGACION DE OPERACIONES  III,1,46,37,9,0
SISTEMAS DIGITALES,1,46,44,2,0
AUDITORIA DE SISTEMAS,1,46,46,0,0
TELEPROCESO,1,46,42,2,2
BASE DE DATOS,1,46,31,15,0
SISTEMAS DE INFORMACION I,1,46,42,3,1
DISEÑO Y EVALUACION DE PROYECTOS,1,46,44,2,0
ELECTRONICA DIGITAL,1,46,35,11,0
INGENIERIA DE SOFTWARE,1,46,43,3,0
MATEMATICA APLICADA A LAS T.I,1,46,45,0,1
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,46,44,2,0
ARQUITECTURA DE COMPUTADORAS,1,46,37,9,0
SISTEMAS EXPERTOS,1,46,45,0,1
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,46,39,3,4
GESTION EMPRESARIAL DE SISTEMAS,1,46,44,0,2
SIMULACION DE SISTEMAS,1,46,39,6,1
INVESTIGACION DE OPERACIONES I,1,46,0,0,0
INGENIERIA ECONOMICA,1,47,42,3,2
FISICA I,1,47,35,7,5
REINGENIERIA,1,47,35,9,3
TELEPROCESO,1,47,45,1,1
TEORIA DE LENGUAJES,1,47,21,21,5
MICROCOMPUTACION II,1,47,45,2,0
LENGUAJE DE MAQUINA,1,47,33,8,6
ORGANIZACION Y METODOS,1,47,46,0,1
TECNICAS DE REDACCION Y COMUNICACION,1,47,45,0,2
CONTABILIDAD GENERAL,1,47,46,0,1
COMPUTACION,1,47,42,3,2
METODOS NUMERICOS,1,47,45,2,0
SISTEMAS DIGITALES,1,47,44,3,0
ADMINISTRACION DE CENTROS DE INFORMACION,1,47,47,0,0
SISTEMAS DE INFORMACION   I,1,47,45,1,1
DISEÑO Y EVALUACION DE PROYECTOS,1,47,45,0,2
SISTEMAS DE INFORMACION II,1,47,43,4,0
INVESTIGACION DE OPERACIONES  II,1,47,27,20,0
ARQUITECTURA DE COMPUTADORAS,1,47,47,0,0
TEORIA DE COMPILADORES,1,47,39,8,0
INVESTIGACION DE OPERACIONES  III,1,47,40,7,0
TEORIA DE LENGUAJES Y COMPILADORES,1,47,47,0,0
ARQUITECTURA DE COMPUTADORAS,1,47,40,7,0
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,47,38,2,7
SISTEMAS DIGITALES,1,47,47,0,0
COMPUTACION I,1,47,45,2,0
INVESTIGACION DE OPERACIONES I,2,47,0,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,48,47,1,0
MATEMATICA II,1,48,26,17,5
INGENIERIA ECONOMICA,1,48,42,4,2
ALGORITMOS Y ESTRUCTURA DE DATOS,1,48,39,4,5
MICROCOMPUTACION II,1,48,45,2,1
INGLES TECNICO I,1,48,45,2,1
ELECTRONICA I,1,48,44,4,0
ADMINISTRACION DE EMPRESAS,1,48,46,0,2
ADMINISTRACION DE EMPRESAS,1,48,45,3,0
SISTEMAS DIGITALES,1,48,45,0,3
SISTEMAS DIGITALES,1,48,48,0,0
FISICA II,1,48,44,2,2
MICROCOMPUTACION IV,1,48,43,3,2
INVESTIGACION DE OPERACIONES  I,1,48,29,19,0
ECONOMIA GENERAL,1,48,43,0,5
METODOLOGIA DE SISTEMAS,1,48,41,5,2
METODOLOGIA DE SISTEMAS,1,48,44,3,1
METODOLOGIA DE LA PROGRAMACION,1,48,26,22,0
ADMINISTRACION DE PROYECTOS DE SISTEMAS,1,48,43,4,1
FISICA I,1,48,41,7,0
BIOINFORMATICA,1,48,43,5,0
BIOINFORMATICA,1,48,45,1,2
CREATIVIDAD E INNOVACION,1,48,46,2,0
COMUNICACION DE DATOS,1,48,0,0,0
ALGORITMOS Y ESTRUCTURA DE DATOS,1,49,24,19,6
ELECTRONICA II,1,49,32,17,0
FISICA I,1,49,46,2,1
ESTADISTICA Y PROBABILIDAD,1,49,43,6,0
COSTOS Y PRESUPUESTOS,1,49,49,0,0
INGLES TECNICO II,1,49,40,8,1
MICROCOMPUTACION III,1,49,45,4,0
INGLES TECNICO II,1,49,46,0,3
ECONOMIA GENERAL,1,49,48,0,1
ECONOMIA GENERAL,1,49,43,2,4
MICROCOMPUTACION I,1,49,46,2,1
CONTABILIDAD GENERAL,1,49,45,0,4
COMPUTACION,1,49,43,1,5
INVESTIGACION DE OPERACIONES  I,1,49,36,13,0
METODOS DE PREDICCION,1,49,41,5,3
TEORIA DE LENGUAJES,1,49,49,0,0
FISICA III,1,49,42,6,1
MICROCOMPUTACION II,1,49,44,1,4
ELECTRONICA I,1,49,36,13,0
INTELIGENCIA ARTIFICIAL,1,49,49,0,0
SISTEMAS OPERATIVOS,1,49,33,11,5
INVESTIGACION DE OPERACIONES  II,1,49,36,13,0
ESTRUCTURA DE DATOS,1,49,30,15,4
COMUNICACION DE DATOS,1,49,41,7,1
PSICOLOGIA ORGANIZACIONAL,1,49,45,1,3
COMUNICACION DE DATOS,1,49,46,3,0
TEORIA DE LENGUAJES Y COMPILADORES,1,49,41,6,2
ALGORITMOS Y ESTRUCTURA DE DATOS,1,50,28,16,6
METODOLOGIA DE LA PROGRAMACION,1,50,47,1,2
INGLES TECNICO II,1,50,44,2,4
TECNICAS DE REDACCION Y COMUNICACION,1,50,45,2,3
ORGANIZACION Y METODOS,1,50,48,0,2
MICROCOMPUTACION I,1,50,45,2,3
METODOS DE PREDICCION,1,50,36,10,4
BASE DE DATOS,1,50,40,9,1
INVESTIGACION DE OPERACIONES  II,1,50,44,6,0
INGENIERIA DE SOFTWARE,1,50,50,0,0
METODOS DE PREDICCION,1,50,48,2,0
FISICA III,1,50,40,7,3
MATEMATICA II,1,50,29,16,5
ORGANIZACION Y METODOS,1,50,40,5,5
SIMULACION,1,50,47,0,3
LENGUAJE Y TECNICAS DE COMUNICACION,1,50,49,1,0
ECONOMIA GENERAL,1,50,44,6,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,50,44,6,0
DINAMICA DE SISTEMAS II,1,50,34,6,10
BASE DE DATOS,1,50,31,11,8
PSICOLOGIA ORGANIZACIONAL,1,50,41,5,4
ECONOMIA GENERAL,1,50,42,3,5
BIOINFORMATICA,1,50,43,7,0
MATEMATICA II,1,50,33,13,4
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,50,48,2,0
ESTRUCTURA DE DATOS,1,50,43,3,4
SISTEMAS DIGITALES,1,50,48,2,0
METODOS NUMERICOS,1,51,46,3,2
ORGANIZACION DE ARCHIVOS,1,51,49,0,2
METODOLOGIA DE LA PROGRAMACION,1,51,47,3,1
ELECTRONICA II,1,51,48,0,3
METODOS NUMERICOS,1,51,47,4,0
DIBUJO EN INGENIERIA,1,51,46,0,5
INGLES TECNICO I,1,51,45,0,6
ELECTRONICA I,1,51,46,2,3
MICROCOMPUTACION I,1,51,49,0,2
FISICA II,1,51,44,5,2
ORGANIZACION DE ARCHIVOS,1,51,49,2,0
MICROCOMPUTACION II,1,51,32,12,7
DIBUJO EN INGENIERIA DE SISTEMAS,1,51,45,5,1
BASE DE DATOS,1,51,43,8,0
DINAMICA DE SISTEMAS I,1,51,40,9,2
ELECTRONICA DIGITAL,1,51,47,4,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,51,43,7,1
MATEMATICA II,1,51,18,20,13
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,51,37,8,6
GESTION EMPRESARIAL DE SISTEMAS,1,51,41,5,5
FISICA II,1,51,36,15,0
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,51,45,6,0
INVESTIGACION DE OPERACIONES I,1,51,32,19,0
COMPUTACION I,1,51,50,1,0
BIOINFORMATICA,1,51,47,3,1
INVESTIGACION DE OPERACIONES I,1,51,33,13,5
INVESTIGACION DE OPERACIONES II,1,51,46,5,0
MATEMATICA II,1,51,50,0,1
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,51,46,0,5
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,51,49,2,0
FISICA I,1,52,48,1,3
BASE DE DATOS,1,52,44,4,4
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,52,35,11,6
ECONOMIA GENERAL,1,52,48,0,4
MICROCOMPUTACION I,1,52,51,1,0
CONTABILIDAD GENERAL,1,52,48,0,4
INGLES TECNICO I,1,52,48,2,2
SISTEMAS DIGITALES,1,52,35,17,0
INGLES TECNICO II,1,52,42,5,5
MICROCOMPUTACION III,1,52,45,6,1
METODOLOGIA DE LA PROGRAMACION,1,52,38,9,5
METODOLOGIA DE LA PROGRAMACION,1,52,49,3,0
COMPUTACION I,1,52,45,7,0
GESTION EMPRESARIAL DE SISTEMAS,1,52,43,7,2
ELECTRONICA DIGITAL,1,52,44,8,0
DINAMICA DE SISTEMAS II,1,52,32,8,12
INVESTIGACION DE OPERACIONES II,1,52,44,8,0
ESTRUCTURA DE DATOS,1,52,36,12,4
EPISTEMOLOGIA,1,52,43,9,0
LENGUAJE Y TECNICAS DE COMUNICACION,1,52,51,1,0
ECONOMIA GENERAL,1,52,24,22,6
SISTEMAS OPERATIVOS,1,52,39,7,6
MATEMATICA II,1,53,32,19,2
METODOLOGIA DE LA PROGRAMACION,1,53,48,3,2
MICROCOMPUTACION II,1,53,49,3,1
ALGORITMOS Y ESTRUCTURA DE DATOS,1,53,35,16,2
ESTADISTICA Y PROBABILIDAD,1,53,52,0,1
COSTOS Y PRESUPUESTOS,1,53,49,3,1
LOGICA MATEMATICA,1,53,46,6,1
METODOS DE PREDICCION,1,53,44,5,4
INVESTIGACION DE OPERACIONES  I,1,53,35,18,0
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,53,34,19,0
ALGORITMOS Y ESTRUCTURA DE DATOS,1,53,33,18,2
FISICA I,1,53,48,1,4
MICROCOMPUTACION I,1,53,52,0,1
SISTEMAS DE INFORMACION   I,1,53,51,1,1
SISTEMAS DE INFORMACION II,1,53,42,8,3
REINGENIERIA,1,53,49,1,3
LOGICO MATEMATICA,1,53,41,9,3
COMPUTACION I,1,53,49,2,2
COMPUTACION II,1,53,33,15,5
ESTRUCTURA DE DATOS,1,53,39,12,2
INVESTIGACION DE OPERACIONES I,1,53,44,6,3
ESTADISTICA PARA INGENIEROS,1,53,42,6,5
PSICOLOGIA ORGANIZACIONAL,1,53,46,1,6
DINAMICA DE SISTEMAS II,1,53,41,9,3
FISICA II,1,54,50,3,1
INGLES TECNICO I,1,54,51,1,2
ELECTRONICA I,1,54,39,14,1
LOGICA MATEMATICA,1,54,41,9,4
TECNICAS DE REDACCION Y COMUNICACION,1,54,48,1,5
INVESTIGACION DE OPERACIONES  III,1,54,53,0,1
MATEMATICA II,1,54,37,17,0
LENGUAJE DE MAQUINA,1,54,37,12,5
TECNICAS DE REDACCION Y COMUNICACION,1,54,44,8,2
DIBUJO EN INGENIERIA,1,54,50,4,0
FISICA I,1,54,48,5,1
INTELIGENCIA ARTIFICIAL,1,54,53,1,0
FISICA II,1,54,40,14,0
DINAMICA DE SISTEMAS II,1,54,42,9,3
INGENIERIA DE ANALISIS MULTIDIMENSIONAL,1,54,49,5,0
FISICA II,1,54,44,10,0
METODOLOGIA DE LA PROGRAMACION,1,54,47,4,3
LOGICO MATEMATICA,1,54,37,14,3
MATEMATICA APLICADA A LAS T.I,1,54,53,1,0
MATEMATICA APLICADA A LAS T.I,1,54,48,6,0
TEORIA DE LENGUAJES Y COMPILADORES,1,54,50,1,3
INVESTIGACION DE OPERACIONES  I,1,55,54,0,1
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,55,41,8,6
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,55,50,0,5
DIBUJO EN INGENIERIA,1,55,47,8,0
ELECTRONICA II,1,55,47,8,0
DIBUJO EN INGENIERIA,1,55,47,5,3
ORGANIZACION Y METODOS,1,55,39,13,3
MATEMATICAS I,2,55,33,14,8
FISICA III,1,55,41,8,6
COMPUTACION,1,55,38,14,3
METODOLOGIA DE SISTEMAS,1,55,40,13,2
GESTION EMPRESARIAL DE SISTEMAS,1,55,50,2,3
MATEMATICA II,1,55,29,22,4
LENGUAJE Y TECNICAS DE COMUNICACION,1,55,46,6,3
FISICA I,1,55,41,14,0
SISTEMAS DIGITALES,1,55,46,9,0
ESTRUCTURA DE DATOS,1,55,31,12,12
LENGUAJE Y TECNICAS DE COMUNICACION,1,55,51,4,0
COMPUTACION II,1,55,34,14,7
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,55,46,8,1
BASE DE DATOS,1,55,43,9,3
MATEMATICA I,1,55,38,14,3
DIBUJO EN INGENIERIA DE SISTEMAS,1,55,36,16,3
COMPUTACION II,1,55,43,5,7
COMUNICACION DE DATOS,1,55,44,10,1
INVESTIGACION DE OPERACIONES  II,1,56,29,25,2
INVESTIGACION DE OPERACIONES  II,1,56,40,14,2
INGENIERIA ECONOMICA,1,56,55,0,1
INGLES TECNICO II,1,56,50,0,6
INGLES TECNICO II,1,56,49,5,2
LOGICA MATEMATICA,1,56,49,5,2
ECONOMIA GENERAL,1,56,52,0,4
TECNICAS DE REDACCION Y COMUNICACION,1,56,50,0,6
INGLES TECNICO I,1,56,55,0,1
ALGEBRA LINEAL,1,56,37,2,17
BASE DE DATOS,1,56,46,6,4
COMPUTACION I,1,56,37,18,1
EPISTEMOLOGIA,1,56,51,1,4
DIBUJO EN INGENIERIA DE SISTEMAS,1,56,49,3,4
LOGICO MATEMATICA,1,56,31,25,0
DINAMICA DE SISTEMAS I,1,56,38,13,5
EPISTEMOLOGIA,1,56,52,4,0
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,56,52,4,0
TEORIA DE LENGUAJES Y COMPILADORES,1,56,42,13,1
SIMULACION DE SISTEMAS,1,56,44,6,6
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,56,54,2,0
BASE DE DATOS,1,56,45,10,1
CREATIVIDAD E INNOVACION TECNOLOGICA,1,56,0,0,0
TECNOLOGIAS DE INFORMACION Y DOCUMENTACION,1,56,0,0,0
FISICA II,1,57,49,5,3
ESTADISTICA Y PROBABILIDAD,1,57,43,9,5
MICROCOMPUTACION II,1,57,51,2,4
LOGICA MATEMATICA,1,57,40,15,2
CONTABILIDAD GENERAL,1,57,54,0,3
MATEMATICA II,1,57,22,20,15
METODOLOGIA DE LA PROGRAMACION,1,57,49,8,0
INGENIERIA ECONOMICA,1,57,51,6,0
METODOLOGIA DE LA PROGRAMACION,1,57,49,5,3
TECNOLOGIA DE OBJETOS,1,57,56,0,1
ESTADISTICA PARA INGENIEROS,1,57,32,21,4
FISICA II,1,57,34,23,0
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,57,55,2,0
ESTADISTICA PARA INGENIEROS,1,57,44,13,0
MATEMATICA I,1,57,48,5,4
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,57,55,2,0
COMPUTACION I,1,57,53,4,0
DIBUJO EN INGENIERIA DE SISTEMAS,1,57,53,3,1
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,57,57,0,0
INVESTIGACION DE OPERACIONES I,1,57,26,23,8
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,57,56,1,0
ARQUITECTURA DE COMPUTADORAS,1,57,0,0,0
ARQUITECTURA DE COMPUTADORAS,1,57,0,0,0
ALGEBRA LINEAL,1,58,42,7,9
ALGEBRA LINEAL,1,58,40,16,2
LEGISLACION,1,58,47,3,8
FISICA III,1,58,41,12,5
LOGICO MATEMATICA,1,58,55,2,1
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,58,48,6,4
TECNOLOGIA DE OBJETOS,1,58,56,2,0
LENGUAJE Y TECNICAS DE COMUNICACION,1,58,58,0,0
MATEMATICA APLICADA A LAS T.I,1,58,48,10,0
ECONOMIA GENERAL,1,58,55,3,0
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,58,48,4,6
LENGUAJE Y TECNICAS DE COMUNICACION,1,58,57,1,0
MATEMATICA I,1,58,47,10,1
ECONOMIA GENERAL,1,58,39,19,0
ELECTRONICA DIGITAL,1,58,50,8,0
CALCULO INTEGRAL,1,58,40,17,1
SIMULACION DE SISTEMAS,1,58,0,0,0
METODOLOGIA DE LA PROGRAMACION,1,59,53,5,1
COSTOS Y PRESUPUESTOS,1,59,48,5,6
CONTABILIDAD GENERAL,1,59,56,2,1
DIBUJO EN INGENIERIA,1,59,48,5,6
LOGICA MATEMATICA,1,59,55,4,0
LENGUAJE DE MAQUINA,1,59,48,8,3
INGLES TECNICO II,1,59,38,15,6
MATEMATICA APLICADA A LAS T.I,1,59,47,6,6
PSICOLOGIA ORGANIZACIONAL,1,59,51,4,4
FISICA I,1,59,34,25,0
INVESTIGACION DE OPERACIONES II,1,59,29,30,0
EPISTEMOLOGIA,1,59,55,4,0
INVESTIGACION DE OPERACIONES I,1,59,24,23,12
DINAMICA DE SISTEMAS I,1,59,34,12,13
MATEMATICA APLICADA A LAS T.I,1,59,50,9,0
SISTEMAS OPERATIVOS,1,59,44,13,2
COMPUTACION II,1,59,43,11,5
GEOMETRIA  ANALITICA,1,59,46,5,8
CALCULO  DIFERENCIAL,1,59,10,45,4
DINAMICA DE SISTEMAS I,1,59,28,26,5
COMPUTACION,1,60,48,5,7
DIBUJO EN INGENIERIA DE SISTEMAS,1,60,46,11,3
COMPUTACION II,1,60,38,16,6
MATEMATICA APLICADA A LAS T.I,1,60,47,12,1
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,60,53,4,3
SISTEMAS OPERATIVOS,1,60,47,9,4
GESTION EMPRESARIAL DE SISTEMAS,1,60,59,1,0
INTRODUCCION A LA INGENIERIA,1,60,55,5,0
INVESTIGACION CIENTIFICA EN TI,1,60,55,4,1
LENGUAJE Y TECNICAS DE COMUNICACION,1,60,56,0,4
MICROCOMPUTACION II,1,61,32,29,0
INVESTIGACION DE OPERACIONES  II,1,61,54,6,1
INGLES TECNICO I,1,61,51,5,5
INGLES TECNICO I,1,61,45,8,8
TECNICAS DE REDACCION Y COMUNICACION,1,61,49,4,8
ADMINISTRACION DE EMPRESAS,1,61,60,0,1
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,61,58,3,0
ECONOMIA GENERAL,1,61,54,7,0
DIBUJO EN INGENIERIA DE SISTEMAS,1,61,53,6,2
LOGICO MATEMATICA,1,61,51,7,3
PSICOLOGIA ORGANIZACIONAL,1,61,43,11,7
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,61,56,5,0
DIBUJO EN INGENIERIA DE SISTEMAS,1,61,50,8,3
TEORIA DE LENGUAJES,1,62,39,15,8
TECNICAS DE REDACCION Y COMUNICACION,1,62,47,8,7
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,62,56,2,4
ORGANIZACION Y METODOS,1,62,46,9,7
MICROCOMPUTACION I,1,62,56,4,2
LENGUAJE Y TECNICAS DE COMUNICACION,1,62,56,2,4
FISICA I,1,62,45,17,0
FISICA I,1,62,55,7,0
DIBUJO DE INGENIERIA,1,62,47,11,4
FISICA  I,1,62,0,0,0
PROGRAMACION,1,62,0,0,0
BASE DE DATOS,1,63,35,21,7
MICROCOMPUTACION I,1,63,55,3,5
SEMINARIO METODOLOGIA DE LA INVESTIGACION,1,63,38,13,12
LOGICO MATEMATICA,1,63,52,6,5
MATEMATICA II,1,64,43,15,6
COSTOS Y PRESUPUESTOS,1,64,58,0,6
MATEMATICA III,1,64,40,14,10
MATEMATICA II,1,64,28,31,5
MATEMATICA II,1,64,49,10,5
ESTADISTICA PARA INGENIEROS,1,64,47,15,2
LOGICA MATEMATICA,1,65,53,9,3
MICROCOMPUTACION IV,1,65,61,2,2
LOGICO MATEMATICA,1,65,49,12,4
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,65,58,0,7
MICROCOMPUTACION II,1,66,56,2,8
ALGEBRA LINEAL,1,66,57,4,5
DINAMICA DE SISTEMAS II,1,66,49,15,2
